Site,Year,Grass_ave,Forbs_ave,Bare_ave,Litter_ave,Wood_ave,Plant_diversity,Percent_flowers,HB_Present,Monarda,Echinacea,Pycnan,Solidago,Dalea,Baptisia,Amorpha,CornSoy,OtherAg,Grassland,Forest,Shrub,DevLow,DevHigh,PC1,PC2,Forest_Dist,Ag_Dist
ARNEY,2023,66.95652174,14.30434783,1.739130435,10,6.565217391,19,0.11,1,0,0,0,0,0,0,0,38.3741258741259,2.06512237762238,26.7373251748252,9.48426573426574,15.8981643356643,3.37631118881119,0.185751748251748,-1.75610787183228,0.113308563165389,60,445.982055664062
BAD,2024,12.59259259,81.2962963,1.481481481,0,0.555555556,27,4.222222222,1,0.037037037,0,0,0,0,0,0,37.796480489671,0.907202973002514,30.9869931140015,12.0341020876599,1.27882828724451,3.39927860968412,0.601158596567931,-1.00667680358883,-0.0161946785190814,90,123.693168640137
BECKW,2023,27.03703704,41.66666667,1.851851852,29.44444444,0,25,5.29,1,1.04,0,0,0,0,0,0,17.527352297593,4.67177242888403,22.199124726477,43.5667396061269,2.16630196936543,6.07221006564551,0.601750547045952,-0.41502122429043,1.34755735506146,42.4264068603516,182.482879638672
BIG,2024,68.14814815,8.518518519,1.111111111,14.62962963,6.851851852,26,0.296296296,1,0.037037037,0,0,0,0,0,0,37.6982824636254,0.66732304999453,16.3439448638005,17.383218466251,2.45049775735696,6.35597855814462,0.36101083032491,-1.05095055833008,0.340436749927207,0,210
BIRD,2023,17.77777778,71.2962963,0,5.740740741,1.296296296,24,19.93,0,3,0,0,0.59,0,0,0,44.800437397485,1.21377802077638,20.5248769819574,17.6271186440678,9.98359759431383,3.34609075997813,0.437397484964461,-1.26998233609419,0.268350593145112,0,342.052642822266
BORS,2023,57.59259259,17.03703704,0.555555556,24.25925926,0,33,0.63,1,0.07,0,0,0,0,0,0,16.9693654266958,1.69584245076586,39.5733041575492,38.074398249453,0.0765864332603939,3.03063457330416,0.525164113785558,-0.81779900137603,1.38266188680835,67.0820388793945,361.247833251953
BOUSKA,2023,41.85185185,43.33333333,5.925925926,5.185185185,0,31,7.7,1,2.37,0,0,1.11,0,0,0,84.7709631573193,1.62894938231114,7.76210779490543,0.218650923800153,0,4.48234393790314,0.481032032360337,-0.817466630790928,-3.69779437073801,931.933471679688,60
BRIGHT,2023,38.33333333,35.74074074,10,15,0.925925926,28,5.56,1,0,0,0.93,1.93,0.03,0,0,17.124411861254,0.306379253747675,22.715833242149,2.66987635408688,0.328263486158223,1.89298610351242,0.251668672721304,-1.04629587790076,-0.549273340889659,180,212.132034301758
BRUSH,2023,41.66666667,48.7037037,9.444444444,0.37037037,0,25,9,1,0,0,0,0,0.56,5.19,0.37,21.7262881522809,3.10688108522044,24.6800131276666,25.2488786784816,2.04572803850782,4.50716551799584,1.15961054589213,-0.15672831656772,0.63860171807915,94.8683319091797,408.044128417969
BRUSH,2024,55.37037037,41.66666667,2.962962963,0.555555556,0,34,9.925925926,1,0.037037037,0,0,0,0.037,0,0,21.7262881522809,3.10688108522044,24.6800131276666,25.2488786784816,2.04572803850782,4.50716551799584,1.15961054589213,-0.15672831656772,0.63860171807915,94.8683319091797,408.044128417969
CARL,2023,40.77777778,25.074074070000002,6.111111111,10,17.48148148,23,6.74,1,0,0,3.71,0.11,0,0,0,25.1719244623949,1.00425717716407,16.013535640214,43.7834297565768,3.85329112542299,3.75504857548303,0.349306844230979,-1.06678678219241,1.33452271864489,42.4264068603516,573.149169921875
CARL,2024,57.77777778,20.55555556,2.222222222,5.185185185,14.25925926,30,5.037037037,1,1.148,0,2.2222,0,0,0,0,25.1719244623949,1.00425717716407,16.013535640214,43.7834297565768,3.85329112542299,3.75504857548303,0.349306844230979,-1.06678678219241,1.33452271864489,42.4264068603516,573.149169921875
CARR,2023,57.55555556,19.074074070000002,6.851851852,13.22222222,3.296296296,32,2.33,0,0,0,0,0,0,0,0,15.4410155395054,1.37885751805647,8.38257824469249,14.9047931713723,8.20748522652659,33.8476690741957,15.7693149485664,2.73529278342991,-0.575065805404294,42.4264068603516,94.8683319091797
CARR,2024,53.88888889,30,7.592592593,0.37037037,8.148148148,29,8.037037037,1,1.85,0,0,0,0,0,0,15.4410155395054,1.37885751805647,8.38257824469249,14.9047931713723,8.20748522652659,33.8476690741957,15.7693149485664,2.73529278342991,-0.575065805404294,42.4264068603516,94.8683319091797
CEDRO,2023,12.96296296,69.81481481,15.18518519,1.296296296,0.740740741,27,4.52,1,1.26,0,0,1.7,0.11,0,0,32.0822847138637,2.7464711675238,26.3923842871211,17.9122442280337,10.4278367436262,5.29598424335266,1.33493817704344,-0.235944682607307,0.11578661636489,182.482879638672,201.246109008789
CHIC,2024,45.18518519,35,9.259259259,9.074074074,2.037037037,26,13.85185185,1,0,0,0,0,0,0,0,18.9939857845817,0.185893931109896,47.8950246036085,3.46637506834336,17.353745215965,1.93548387096774,0.131219245489338,-1.75943663391703,-0.156783747755906,212.132034301758,420
CHRIS,2023,51.85185185,7.407407407,0,40.74074074,0,22,0.29,1,0,0,0,0.03,0.03,0,0,35.9641451683428,2.73283777874945,31.9851333624836,3.4980323567993,0.34980323567993,3.67293397463927,0.426322693484915,-1.06721851346937,-0.887700675302423,108.166534423828,108.166534423828
COCH,2024,34.44444444,64.44444444,0.37037037,0.740740741,0,29,16.81481481,1,6.111111111,0,2.77778,0,0,0,0,24.2152466367713,5.69834846330526,35.3713223230887,30.3182762769332,0.131247949250793,3.91556381931532,0.262495898501586,-1.38387336080349,1.19154046607668,42.4264068603516,335.410186767578
DECO,2023,27.59259259,55.18518519,2.037037037,15.18518519,0,38,19.29,1,1.93,0,0,0,0,0,0,1.94684458055343,0.492179809690474,19.6543804003062,20.3324948047687,0.524991797003172,29.1589193918845,25.5496007874877,4.0551011574281,0.663976555124864,134.164077758789,152.970581054688
DECO,2024,39.40740741,59.85185185,0.185185185,0.555555556,0,48,18.77777778,1,1.407407407,0.29,0,0.037,0,0,0,1.94684458055343,0.492179809690474,19.6543804003062,20.3324948047687,0.524991797003172,29.1589193918845,25.5496007874877,4.0551011574281,0.663976555124864,134.164077758789,152.970581054688
