Site,Year,Visit,ObsCode,Date,Species,Count,Wind,Temp,PercentBloom
ARNEY,2023,1,A,166,IMP,0,1.2,33.2,3
ARNEY,2023,1,A,166,GRIS,1,1.2,33.2,3
ARNEY,2023,1,A,166,BIM,0,1.2,33.2,3
ARNEY,2023,1,A,166,AUR,0,1.2,33.2,3
ARNEY,2023,1,A,166,VAG,0,1.2,33.2,3
ARNEY,2023,1,A,166,FRAT,0,1.2,33.2,3
ARNEY,2023,1,A,166,FER,0,1.2,33.2,3
ARNEY,2023,1,A,166,CIT,0,1.2,33.2,3
ARNEY,2023,1,A,166,BOR,0,1.2,33.2,3
ARNEY,2023,1,A,166,TER,0,1.2,33.2,3
ARNEY,2023,1,A,166,RUF,0,1.2,33.2,3
ARNEY,2023,1,A,166,PEN,0,1.2,33.2,3
ARNEY,2023,1,A,166,AFF,0,1.2,33.2,3
ARNEY,2023,2,B,166,IMP,0,1.2,33.2,3
ARNEY,2023,2,B,166,GRIS,0,1.2,33.2,3
ARNEY,2023,2,B,166,BIM,0,1.2,33.2,3
ARNEY,2023,2,B,166,AUR,0,1.2,33.2,3
ARNEY,2023,2,B,166,VAG,0,1.2,33.2,3
ARNEY,2023,2,B,166,FRAT,0,1.2,33.2,3
ARNEY,2023,2,B,166,FER,0,1.2,33.2,3
ARNEY,2023,2,B,166,CIT,0,1.2,33.2,3
ARNEY,2023,2,B,166,BOR,0,1.2,33.2,3
ARNEY,2023,2,B,166,TER,0,1.2,33.2,3
ARNEY,2023,2,B,166,RUF,0,1.2,33.2,3
ARNEY,2023,2,B,166,PEN,1,1.2,33.2,3
ARNEY,2023,2,B,166,AFF,0,1.2,33.2,3
ARNEY,2023,3,C,195,IMP,0,1.3,27,4
ARNEY,2023,3,C,195,GRIS,0,1.3,27,4
ARNEY,2023,3,C,195,BIM,1,1.3,27,4
ARNEY,2023,3,C,195,AUR,0,1.3,27,4
ARNEY,2023,3,C,195,VAG,0,1.3,27,4
ARNEY,2023,3,C,195,FRAT,0,1.3,27,4
ARNEY,2023,3,C,195,FER,0,1.3,27,4
ARNEY,2023,3,C,195,CIT,0,1.3,27,4
ARNEY,2023,3,C,195,BOR,0,1.3,27,4
ARNEY,2023,3,C,195,TER,0,1.3,27,4
ARNEY,2023,3,C,195,RUF,0,1.3,27,4
ARNEY,2023,3,C,195,PEN,1,1.3,27,4
ARNEY,2023,3,C,195,AFF,0,1.3,27,4
ARNEY,2023,4,B,195,IMP,0,1.3,27,4
ARNEY,2023,4,B,195,GRIS,0,1.3,27,4
ARNEY,2023,4,B,195,BIM,0,1.3,27,4
ARNEY,2023,4,B,195,AUR,0,1.3,27,4
ARNEY,2023,4,B,195,VAG,0,1.3,27,4
ARNEY,2023,4,B,195,FRAT,0,1.3,27,4
ARNEY,2023,4,B,195,FER,0,1.3,27,4
ARNEY,2023,4,B,195,CIT,0,1.3,27,4
ARNEY,2023,4,B,195,BOR,0,1.3,27,4
ARNEY,2023,4,B,195,TER,0,1.3,27,4
ARNEY,2023,4,B,195,RUF,0,1.3,27,4
ARNEY,2023,4,B,195,PEN,0,1.3,27,4
ARNEY,2023,4,B,195,AFF,0,1.3,27,4
ARNEY,2023,5,C,230,IMP,3,2.4,19.7,3
ARNEY,2023,5,C,230,GRIS,1,2.4,19.7,3
ARNEY,2023,5,C,230,BIM,0,2.4,19.7,3
ARNEY,2023,5,C,230,AUR,0,2.4,19.7,3
ARNEY,2023,5,C,230,VAG,0,2.4,19.7,3
ARNEY,2023,5,C,230,FRAT,0,2.4,19.7,3
ARNEY,2023,5,C,230,FER,0,2.4,19.7,3
ARNEY,2023,5,C,230,CIT,0,2.4,19.7,3
ARNEY,2023,5,C,230,BOR,0,2.4,19.7,3
ARNEY,2023,5,C,230,TER,0,2.4,19.7,3
ARNEY,2023,5,C,230,RUF,0,2.4,19.7,3
ARNEY,2023,5,C,230,PEN,0,2.4,19.7,3
ARNEY,2023,5,C,230,AFF,0,2.4,19.7,3
ARNEY,2023,6,B,230,IMP,3,2.4,19.7,3
ARNEY,2023,6,B,230,GRIS,1,2.4,19.7,3
ARNEY,2023,6,B,230,BIM,0,2.4,19.7,3
ARNEY,2023,6,B,230,AUR,0,2.4,19.7,3
ARNEY,2023,6,B,230,VAG,0,2.4,19.7,3
ARNEY,2023,6,B,230,FRAT,0,2.4,19.7,3
ARNEY,2023,6,B,230,FER,0,2.4,19.7,3
ARNEY,2023,6,B,230,CIT,0,2.4,19.7,3
ARNEY,2023,6,B,230,BOR,0,2.4,19.7,3
ARNEY,2023,6,B,230,TER,0,2.4,19.7,3
ARNEY,2023,6,B,230,RUF,0,2.4,19.7,3
ARNEY,2023,6,B,230,PEN,0,2.4,19.7,3
ARNEY,2023,6,B,230,AFF,0,2.4,19.7,3
BAD,2024,1,C,172,IMP,0,1.5,23,3
BAD,2024,1,C,172,GRIS,1,1.5,23,3
BAD,2024,1,C,172,BIM,0,1.5,23,3
BAD,2024,1,C,172,AUR,0,1.5,23,3
BAD,2024,1,C,172,VAG,0,1.5,23,3
BAD,2024,1,C,172,FRAT,0,1.5,23,3
BAD,2024,1,C,172,FER,0,1.5,23,3
BAD,2024,1,C,172,CIT,0,1.5,23,3
BAD,2024,1,C,172,BOR,0,1.5,23,3
BAD,2024,1,C,172,TER,0,1.5,23,3
BAD,2024,1,C,172,RUF,0,1.5,23,3
BAD,2024,1,C,172,PEN,0,1.5,23,3
BAD,2024,1,C,172,AFF,0,1.5,23,3
BAD,2024,2,A,172,IMP,0,1.5,23,3
BAD,2024,2,A,172,GRIS,0,1.5,23,3
BAD,2024,2,A,172,BIM,0,1.5,23,3
BAD,2024,2,A,172,AUR,0,1.5,23,3
BAD,2024,2,A,172,VAG,0,1.5,23,3
BAD,2024,2,A,172,FRAT,0,1.5,23,3
BAD,2024,2,A,172,FER,0,1.5,23,3
BAD,2024,2,A,172,CIT,0,1.5,23,3
BAD,2024,2,A,172,BOR,0,1.5,23,3
BAD,2024,2,A,172,TER,0,1.5,23,3
BAD,2024,2,A,172,RUF,0,1.5,23,3
BAD,2024,2,A,172,PEN,0,1.5,23,3
BAD,2024,2,A,172,AFF,0,1.5,23,3
BAD,2024,3,C,193,IMP,0,2.1,28.5,5
BAD,2024,3,C,193,GRIS,2,2.1,28.5,5
BAD,2024,3,C,193,BIM,0,2.1,28.5,5
BAD,2024,3,C,193,AUR,0,2.1,28.5,5
BAD,2024,3,C,193,VAG,0,2.1,28.5,5
BAD,2024,3,C,193,FRAT,0,2.1,28.5,5
BAD,2024,3,C,193,FER,0,2.1,28.5,5
BAD,2024,3,C,193,CIT,0,2.1,28.5,5
BAD,2024,3,C,193,BOR,0,2.1,28.5,5
BAD,2024,3,C,193,TER,0,2.1,28.5,5
BAD,2024,3,C,193,RUF,0,2.1,28.5,5
BAD,2024,3,C,193,PEN,0,2.1,28.5,5
BAD,2024,3,C,193,AFF,0,2.1,28.5,5
BAD,2024,4,A,193,IMP,2,2.1,28.5,5
BAD,2024,4,A,193,GRIS,3,2.1,28.5,5
BAD,2024,4,A,193,BIM,0,2.1,28.5,5
BAD,2024,4,A,193,AUR,0,2.1,28.5,5
BAD,2024,4,A,193,VAG,0,2.1,28.5,5
BAD,2024,4,A,193,FRAT,0,2.1,28.5,5
BAD,2024,4,A,193,FER,0,2.1,28.5,5
BAD,2024,4,A,193,CIT,0,2.1,28.5,5
BAD,2024,4,A,193,BOR,0,2.1,28.5,5
BAD,2024,4,A,193,TER,0,2.1,28.5,5
BAD,2024,4,A,193,RUF,0,2.1,28.5,5
BAD,2024,4,A,193,PEN,0,2.1,28.5,5
BAD,2024,4,A,193,AFF,0,2.1,28.5,5
BAD,2024,5,C,219,IMP,0,3.5,21.2,2
BAD,2024,5,C,219,GRIS,0,3.5,21.2,2
BAD,2024,5,C,219,BIM,0,3.5,21.2,2
BAD,2024,5,C,219,AUR,0,3.5,21.2,2
BAD,2024,5,C,219,VAG,0,3.5,21.2,2
BAD,2024,5,C,219,FRAT,0,3.5,21.2,2
BAD,2024,5,C,219,FER,0,3.5,21.2,2
BAD,2024,5,C,219,CIT,0,3.5,21.2,2
BAD,2024,5,C,219,BOR,0,3.5,21.2,2
BAD,2024,5,C,219,TER,0,3.5,21.2,2
BAD,2024,5,C,219,RUF,0,3.5,21.2,2
BAD,2024,5,C,219,PEN,0,3.5,21.2,2
BAD,2024,5,C,219,AFF,0,3.5,21.2,2
BAD,2024,6,A,219,IMP,0,3.5,21.2,2
BAD,2024,6,A,219,GRIS,0,3.5,21.2,2
BAD,2024,6,A,219,BIM,0,3.5,21.2,2
BAD,2024,6,A,219,AUR,0,3.5,21.2,2
BAD,2024,6,A,219,VAG,0,3.5,21.2,2
BAD,2024,6,A,219,FRAT,0,3.5,21.2,2
BAD,2024,6,A,219,FER,0,3.5,21.2,2
BAD,2024,6,A,219,CIT,0,3.5,21.2,2
BAD,2024,6,A,219,BOR,0,3.5,21.2,2
BAD,2024,6,A,219,TER,0,3.5,21.2,2
BAD,2024,6,A,219,RUF,0,3.5,21.2,2
BAD,2024,6,A,219,PEN,0,3.5,21.2,2
BAD,2024,6,A,219,AFF,0,3.5,21.2,2
BECKW,2023,1,C,173,IMP,3,1.4,23,4
BECKW,2023,1,C,173,GRIS,3,1.4,23,4
BECKW,2023,1,C,173,BIM,0,1.4,23,4
BECKW,2023,1,C,173,AUR,0,1.4,23,4
BECKW,2023,1,C,173,VAG,0,1.4,23,4
BECKW,2023,1,C,173,FRAT,0,1.4,23,4
